Speed,q
1196,47.96
1195,47.16
1196,46.58
1196,46.14
1194,45.67
1194,45.40
1196,45.28
1193,45.14
1192,45.06
1194,45.02
1195,45.06
1192,45.29
1192,45.66
1194,46.03
1193,46.57
1189,47.12
1190,47.50
1192,48.03
1192,48.55
1188,48.96
1188,49.62
1191,49.99
1191,50.34
1189,50.54
1188,50.91
1189,51.14
1190,51.24
1188,51.38
1186,51.32
1186,51.32
1185,51.34
1189,51.39
1188,51.42
1182,51.62
1185,51.76
1188,53.00
1190,54.54
1185,55.62
1182,56.91
1187,57.53
1187,57.98
1183,58.40
1185,59.03
1188,59.39
1186,59.76
1183,60.04
1184,60.35
1186,60.46
1184,60.58
1183,60.74
1184,60.96
1184,61.01
1182,61.16
1183,61.37
1185,61.86
1184,62.46
1182,62.88
1182,63.60
1183,63.97
1182,64.24
1181,64.48
1182,64.94
1184,65.33
1182,65.82
1180,66.28
1180,66.94
1181,67.74
1179,68.46
1180,68.90
1183,69.46
1182,69.84
1184,70.18
1187,70.64
1184,71.72
1181,72.35
1181,72.80
1182,73.00
1182,73.63
1179,74.12
1181,74.44
1184,74.52
1181,74.82
1181,74.98
1182,76.18
1184,77.30
1183,78.74
1179,79.59
1184,80.24
1186,80.68
1182,81.41
1180,81.81
1184,82.06
1184,82.20
1180,82.62
1182,82.79
1186,82.88
1184,82.98
1181,83.10
1183,83.21
1187,83.28
1184,83.42
1180,83.62
1184,83.65
1190,83.56
1184,83.61
1181,83.66
1187,83.48
1187,83.40
1183,83.34
1183,83.32
1186,83.12
1187,82.96
1183,82.86
1185,82.82
1188,82.72
1187,82.70
1186,82.62
1186,82.62
1187,82.60
1186,82.59
1187,82.60
1190,82.54
1189,82.54
1186,82.58
1188,82.57
1190,82.50
1187,82.57
1187,82.60
1189,82.54
1190,82.50
1188,82.49
1187,82.56
1191,82.52
1191,82.58
1189,82.66
1189,82.66
1190,82.64
1191,82.58
1190,82.59
1189,82.54
1191,82.58
1191,82.56
1189,82.60
1190,82.62
1193,82.64
1193,82.61
1192,82.58
1193,82.58
1193,82.62
1194,82.60
1193,82.58
1194,82.59
1193,82.52
1190,82.58
1192,82.43
1194,82.42
1195,82.34
1192,82.34
1193,82.35
1197,82.28
1195,82.27
1192,82.32
1195,82.28
1198,82.22
1197,82.18
1195,82.22
1196,82.18
1198,82.16
1197,82.16
1197,82.14
1198,82.16
1199,82.12
1198,82.16
1198,82.10
1201,82.06
1201,82.06
1199,82.02
1199,82.04
1202,82.00
1202,81.98
1201,81.96
1202,81.92
1203,81.88
1203,81.90
1204,81.82
1205,81.72
1205,81.68
1204,81.70
1204,81.68
1207,81.56
1206,81.56
1204,81.58
1207,81.54
1208,81.44
1207,81.40
1206,81.44
1209,81.34
1210,81.24
1209,81.22
1208,81.24
1210,81.20
1212,81.08
1210,81.08
1208,81.12
1211,81.08
1214,80.98
1214,80.87
1212,80.80
1211,80.78
1215,80.76
1217,80.68
1213,80.66
1214,80.62
1218,80.60
1218,80.52
1216,80.46
1215,80.44
1219,80.40
1220,80.36
1216,80.32
1218,80.30
1222,80.23
1222,80.10
1218,80.10
1219,80.00
1225,79.82
1226,79.53
1224,79.34
1221,79.23
1224,78.86
1228,78.53
1225,78.23
1223,77.36
1225,59.57
1225,44.82
1223,28.69
1223,20.10
1222,13.00
1210,7.08
1211,2.12
1229,0.00
1220,0.00
1225,0.00
1218,0.00
1222,0.00
1216,0.00
1221,0.00
1217,0.00
1216,0.00
1216,0.00
1214,0.00
1218,0.00
1215,0.00
1212,0.00
1213,0.00
1215,0.00
1214,0.00
1210,0.00
1212,0.00
1213,0.00
1210,0.00
1208,0.00
1210,2.35
1213,8.05
1214,12.86
1222,19.02
1217,21.42
1203,24.89
1212,27.21
1208,28.28
1209,30.27
1211,30.76
1210,31.52
1208,31.83
1212,32.18
1205,32.45
1209,32.49
1211,32.64
1208,32.70
1208,32.82
1210,32.84
1210,32.76
1209,32.82
1208,32.92
1209,32.90
1211,32.86
1210,32.88
1208,32.90
1210,32.88
1209,33.04
1209,33.20
1209,33.63
1209,34.14
1210,34.62
1209,35.33
1210,35.90
1210,36.48
1212,37.03
1211,37.50
1210,38.20
1211,38.68
1212,39.10
1211,39.59
1208,39.86
1209,40.09
1213,40.36
1212,40.66
1210,41.15
1211,41.52
1213,41.84
1213,42.27
1209,42.60
1211,42.91
1215,43.04
1213,43.08
1211,43.23
1213,43.40
1215,43.56
1214,43.75
1214,43.92
1214,44.25
1214,44.46
1215,44.84
1213,45.85
1214,46.54
1216,47.62
1215,48.50
1215,49.12
1216,49.75
1217,50.10
1217,50.50
1215,50.84
1215,51.18
1218,51.42
1218,51.54
1216,51.69
1217,51.96
1220,52.17
1220,52.36
1217,52.50
1217,52.81
1221,53.00
1222,53.04
1218,53.08
1219,53.15
1222,53.16
1222,53.18
1221,53.10
1220,53.06
1221,53.12
1223,53.14
1222,53.08
1222,52.98
1223,53.00
1222,53.04
1221,53.02
1222,52.96
1224,52.96
1225,52.93
1224,52.84
1224,52.76
1226,52.74
1225,52.76
1223,52.72
1224,52.72
1227,52.66
1226,52.64
1224,52.66
1226,52.66
1229,52.58
1226,52.48
1223,52.54
1227,52.56
1228,52.60
1226,52.79
1224,52.98
1226,53.09
1229,53.08
1227,53.08
1226,53.14
1228,53.12
1228,53.06
1227,53.12
1227,53.20
1228,53.16
1229,53.08
1229,53.06
1227,53.08
1227,53.08
1228,53.06
1229,53.06
1228,53.08
1229,53.04
1228,53.00
1228,53.04
1228,53.08
1229,53.08
1229,53.00
1230,52.96
1231,52.92
1228,52.94
1228,52.96
1230,52.98
1229,52.98
1229,52.96
1227,53.02
1229,53.00
1230,52.98
1227,53.02
1228,53.02
1230,53.00
1232,52.92
1230,52.88
1228,52.88
1229,52.92
1231,52.92
1230,52.90
1228,52.90
1230,52.92
1232,52.90
1229,52.88
1228,52.90
1229,52.92
1230,52.90
1230,52.90
1229,52.94
1230,52.90
1230,52.86
1227,52.94
1228,53.02
1230,52.96
1230,52.90
1228,52.96
1229,53.02
1229,52.96
1228,52.96
1227,53.00
1227,53.08
1227,53.12
1229,53.12
1230,53.04
1227,53.04
1227,53.12
1229,53.12
1229,53.08
1226,53.16
1227,53.20
1229,53.10
1227,53.12
1226,53.24
1227,53.28
1227,53.36
1227,53.53
1228,53.62
1226,53.62
1225,53.62
1226,53.68
1226,53.72
1225,53.64
1225,53.58
1226,53.36
1226,52.61
1224,50.15
1222,45.32
1221,28.96
1223,21.78
1215,13.00
1204,8.36
1208,4.72
1227,0.15
1213,0.00
1219,0.00
1212,0.00
1218,0.00
1209,0.00
1213,0.00
1210,0.00
1210,0.00
1208,0.00
1205,0.00
1207,0.00
1207,0.00
1202,0.00
1200,0.00
1204,0.00
1203,0.00
1198,0.00
1196,0.00
1200,0.00
1199,0.00
1192,0.00
1192,0.00
1196,0.00
1194,0.00
1188,0.00
1188,0.00
1192,0.00
1190,0.00
1184,0.00
1183,0.00
1187,0.00
1187,0.00
1181,0.00
1179,0.00
1182,0.00
1182,0.00
1178,0.00
1177,0.00
1176,0.00
1176,0.00
1174,0.00
1172,0.00
1172,0.00
1171,0.00
1170,0.00
1170,0.00
1167,0.00
1168,0.16
1168,0.70
1166,4.32
1167,11.30
1174,17.74
1177,24.38
1166,29.64
1164,38.30
1164,43.33
1169,49.74
1159,56.58
1167,60.60
1164,64.84
1162,69.66
1165,72.33
1163,74.45
1164,76.22
1163,77.40
1163,78.64
1166,80.54
1165,82.45
1165,84.09
1166,85.50
1165,86.44
1165,87.75
1168,88.38
1169,88.83
1167,89.22
1167,89.48
1171,90.08
1171,91.92
1169,93.21
1171,94.20
1173,94.82
1171,95.82
1172,96.39
1173,96.73
1174,96.98
1172,97.18
1173,97.39
1177,97.41
1175,97.46
1171,97.58
1175,97.60
1179,97.56
1176,97.62
1175,97.66
1177,97.66
1180,97.58
1178,97.60
1178,97.62
1180,97.58
1179,97.59
1179,97.58
1180,97.60
1181,97.56
1182,97.55
1182,97.56
1184,97.52
1184,97.50
1183,97.53
1185,97.50
1186,97.46
1185,97.48
1185,97.48
1187,97.48
1189,97.40
1187,97.44
1185,97.46
1191,97.38
1191,97.36
1188,97.38
1190,97.36
1192,97.32
1191,97.30
1190,97.34
1192,97.32
1195,97.24
1193,97.26
1191,97.32
1192,97.28
1194,97.35
1196,97.57
1196,97.92
1193,98.27
1197,98.26
1197,98.26
1196,98.42
1197,98.60
1198,98.64
1199,98.72
1198,98.84
1198,98.90
1202,98.88
1201,98.92
1200,98.94
1201,98.96
1201,98.98
1202,98.98
1202,98.96
1203,98.88
1204,98.88
1204,98.86
1205,98.80
1205,98.80
1205,98.82
1206,98.78
1206,98.72
1207,98.70
1208,98.72
1207,98.66
1208,98.56
1209,98.58
1209,98.58
1210,98.58
1211,98.44
1210,98.36
1210,98.31
1211,98.26
1213,98.24
1213,98.28
1212,98.32
1212,98.34
1215,98.22
1215,98.20
1213,98.24
1216,98.22
