Speed,q,p
1188,37.07,900184.2122
1187,37.63,903667.2649
1187,38.12,910111.1578
1189,39.15,916427.6266
1186,40.32,925563.8511
1184,41.88,944527.224
1187,43.46,963038.1496
1187,47.04,975626.7622
1182,49.62,984064.1296
1185,52.1,998098.9837
1190,54.24,1014339.783
1184,57.62,1019090.598
1181,59.59,1015980.304
1185,61.04,1021909.494
1187,62,1025943.925
1184,63.27,1023258.96
1181,63.97,1022340.227
1186,64.3,1026041.124
1187,64.64,1026930.647
1181,64.98,1022772.054
1183,65.2,1023924.473
1187,65.22,1027185.803
1186,65.3,1025301.188
1182,65.44,1022956.545
1184,65.48,1025096.699
1187,65.44,1027014.73
1184,65.48,1024244.446
1182,65.58,1022656.189
1185,65.58,1025911.271
1187,65.54,1027215.999
1182,65.58,1023144.187
1183,65.64,1023454.286
1188,65.58,1027442.516
1187,65.52,1026386.181
1181,65.58,1022043.175
1183,65.64,1023752.471
1187,65.56,1027428.48
1184,65.54,1024327.709
1180,65.66,1021599.118
1184,65.68,1025468.885
1187,65.6,1027698.683
1184,65.56,1024142.36
1182,65.64,1023171.158
1184,65.66,1025128.349
1185,65.64,1026156.772
1184,65.6,1023999.262
1182,65.64,1023128.798
1186,65.6,1026441.172
1187,65.56,1027470.144
1182,65.56,1023070.603
1182,65.58,1022328.26
1186,65.48,1023285.107
1184,65.38,1020712.162
1183,65.18,1018114.089
1184,64.92,1018956.542
1185,64.72,1019539.209
1184,64.56,1014840.669
1184,64.28,1012256.984
1184,64,1012285.87
1185,63.84,1011798.666
1183,63.34,1004276.522
1182,62.51,993213.111
1185,61.38,990442.9978
1184,60.62,985138.6509
1181,59.21,978854.6976
1184,58.29,976728.4885
1184,57.52,975385.4272
1180,56.94,971481.2246
1181,56.05,969760.0754
1186,55.53,972486.1228
1184,55.14,970425.1379
1179,54.82,964296.4749
1181,54.29,963461.026
1185,53.91,966298.8592
1183,53.64,964184.8364
1180,53.46,962286.4395
1182,53.28,964089.5457
1184,53.18,965398.0675
1181,53.14,962599.0298
1180,53.08,961086.6489
1183,52.94,962101.2663
1183,52.76,962069.8092
1181,52.64,959899.2573
1182,52.54,960002.612
1184,52.42,961800
1182,52.38,960727.5427
1181,52.32,959514.9449
1184,52.26,961086.5105
1184,52.2,961098.6945
1181,52.22,960128.4759
1181,52.22,960071.6094
1183,52.22,960844.9857
1183,52.2,961141.2918
1180,52.28,959170.786
1181,52.26,959690.3541
1184,52.24,962000
1181,52.26,960568.0391
1180,52.3,958644.041
1183,52.28,960588.2565
1183,52.26,961355.0769
1181,52.28,959770.3558
1181,52.3,959429.2622
1184,52.24,961059.5539
1184,52.22,961740.256
1181,52.24,959841.9885
1183,52.22,960058.7486
1186,52.18,962029.891
1184,52.14,961224.1214
1180,52.18,958829.6066
1184,52.16,961174.2321
1187,52.16,962925.3066
1184,52.1,960498.2585
1184,52.08,960316.2855
1185,52.02,961600
1184,52,961384.9931
1184,52.06,960570.0126
1184,52.04,960945.0912
1187,52,962785.4946
1187,51.96,961683.4481
1183,51.83,951809.5859
1183,50.73,938402.9151
1189,49.72,942214.9499
1188,49.1,940880.969
1187,48.21,937656.8171
1185,47.82,937328.4628
1187,47.6,938417.7254
1190,47.28,939454.3148
1188,47.08,937328.4369
1189,46.9,938415.6997
1190,46.9,939740.5307
1189,46.78,937985.2502
1190,46.64,937814.6136
1190,46.64,938629.6097
1192,46.6,939328.3741
1191,46.54,938269.9244
1190,46.46,937672.1533
1192,46.46,939814.7488
1193,46.48,939770.8099
1193,46.4,938142.4129
1191,46.36,937602.2516
1193,46.34,939685.9566
1193,46.36,938914.0574
1191,46.32,937315.626
1194,46.3,939673.5157
1194,46.3,940384.6688
1193,46.28,938414.3768
1196,46.24,938728.4804
1196,46.16,939314.6186
