Speed,q,p
266,85.36,660264
326,83.00,654611
367,76.42,638889
364,74.15,633482
353,84.52,658259
359,84.56,658333
371,83.12,654879
389,80.79,649307
411,84.67,658598
434,83.21,655106
445,84.16,657392
458,82.67,653798
472,83.92,656805
493,82.29,652894
511,82.91,654391
535,83.55,663141
585,82.73,698028
696,74.19,712397
820,33.63,644024
865,22.88,620204
886,15.31,566860
887,9.98,553915
876,6.10,537925
856,3.59,514085
800,2.50,468648
764,0.00,427344
733,0.00,412549
704,0.14,404363
670,3.35,407180
658,11.85,426940
670,17.38,449102
677,9.66,429109
671,8.02,422153
687,15.27,447779
729,15.82,466186
765,22.45,518616
798,26.04,574322
828,28.68,624727
851,32.64,671137
852,37.57,701402
835,40.78,701722
808,44.89,689053
793,48.86,687417
799,51.41,707695
829,53.16,755781
877,53.18,812224
926,51.90,844025
960,50.14,849788
972,48.11,844786
968,46.25,835169
959,43.92,821208
956,41.97,810573
966,40.78,810455
993,37.47,808346
1025,27.36,769917
1047,18.31,712278
1053,13.92,689260
1043,7.83,657717
1024,4.41,631349
997,3.06,607887
971,2.23,586852
935,0.00,550924
901,0.00,526320
866,0.00,501076
835,0.00,478635
803,0.00,455467
771,0.00,432318
738,0.00,413995
708,0.00,404995
674,0.14,395216
649,3.79,399561
641,20.74,450630
660,13.20,431665
661,3.96,405446
644,4.59,400059
628,7.54,401454
618,9.09,401688
613,10.14,402892
609,10.86,403343
606,11.27,403609
606,11.47,403956
605,11.70,404393
604,11.70,404102
604,11.78,404225
604,11.86,404621
604,11.83,404535
604,11.71,404119
604,11.84,404540
604,11.78,404220
604,11.78,404518
604,11.84,404550
604,11.84,404400
604,11.79,404368
603,11.92,404488
602,11.92,404052
602,11.97,404218
602,12.19,404935
602,12.05,404191
602,11.97,404058
602,12.21,404708
602,12.08,404279
602,12.07,404529
602,12.21,404838
602,11.98,403955
602,12.07,404374
601,12.22,404710
602,12.62,406197
616,22.28,446595
658,31.59,503108
678,4.03,413295
655,6.41,410493
654,18.92,448728
672,15.44,442854
673,7.75,422653
666,12.59,432215
671,14.77,440118
676,11.21,432861
672,10.85,429978
672,13.59,437264
675,12.55,435977
675,11.00,431738
673,12.45,434557
675,12.56,436023
676,11.53,433451
675,11.70,433448
674,12.42,435067
676,12.00,434685
675,11.71,433498
675,12.25,435052
675,12.05,434540
675,11.56,433388
674,12.31,434932
676,12.05,434941
674,11.52,432848
675,12.27,434949
675,12.37,435367
675,11.82,434056
674,12.16,434520
675,12.08,434735
675,12.05,434387
675,12.66,435980
675,12.25,435202
675,11.49,433052
